error_id	error_type	error_layer	cx	cy	cell	pin	access_status	access_x	access_y	distance
78	Off-grid	VIA1 (12)	224.74200000000002	228.392	u_core/core_i/U4279	A2	Routable	224.7440	228.3570	0.035057
79	Off-grid	VIA1 (12)	234.293	229.608	u_core/core_i/U3140	A2	Routable	234.3200	229.6080	0.027000
80	Off-grid	M2 (13)	234.293	229.608	u_core/core_i/U3140	A2	Routable	234.3200	229.6080	0.027000
81	Off-grid	M2 (13)	256.181	229.608	u_core/core_i/id_stage_i/U178	A2	Routable	256.2080	229.6080	0.027000
82	Off-grid	VIA1 (12)	256.18100000000004	229.608	u_core/core_i/id_stage_i/U178	A2	Routable	256.2080	229.6080	0.027000
85	Off-grid	M2 (13)	303.909	239.792	u_core/core_i/U4434	A2	Routable	303.9360	239.7550	0.045804
86	Off-grid	VIA1 (12)	303.909	239.792	u_core/core_i/U4434	A2	Routable	303.9360	239.7550	0.045804
87	Off-grid	VIA1 (12)	160.573	249.672	u_core/core_i/U1414	A2	Routable	160.6000	249.6720	0.027000
88	Off-grid	M2 (13)	160.57299999999998	249.672	u_core/core_i/U1414	A2	Routable	160.6000	249.6720	0.027000
89	Off-grid	VIA1 (12)	247.213	243.136	u_core/core_i/U1065	A2	Routable	247.2400	243.0990	0.045804
90	Off-grid	M2 (13)	247.213	243.136	u_core/core_i/U1065	A2	Routable	247.2400	243.0990	0.045804
91	Off-grid	VIA1 (12)	255.75	244.96	u_core/core_i/U1091	A2	Routable	255.7520	244.9600	0.002000
92	Off-grid	M2 (13)	255.75	244.96	u_core/core_i/U1091	A2	Routable	255.7520	244.9600	0.002000
93	Off-grid	VIA1 (12)	301.654	246.328	u_core/core_i/U4423	A2	Routable	301.6560	246.3280	0.002000
94	Off-grid	M2 (13)	301.654	246.328	u_core/core_i/U4423	A2	Routable	301.6560	246.3280	0.002000
95	Off-grid	M2 (13)	209.061	261.832	u_core/core_i/U3800	A2	Routable	209.0880	261.7970	0.044204
96	Off-grid	VIA1 (12)	209.061	261.832	u_core/core_i/U3800	A2	Routable	209.0880	261.7970	0.044204
97	Off-grid	VIA1 (12)	248.279	261.68	u_core/core_i/U1041	A2	Routable	248.3040	261.6800	0.025000
98	Off-grid	M2 (13)	248.304	261.68	u_core/core_i/U1041	A2	Routable	248.3040	261.6800	0.000000
99	Off-grid	VIA1 (12)	242.957	256.512	u_core/core_i/U1135	A2	Routable	242.9840	256.4750	0.045804
100	Off-grid	M2 (13)	242.957	256.512	u_core/core_i/U1135	A2	Routable	242.9840	256.4750	0.045804
101	Off-grid	VIA1 (12)	232.64600000000002	289.8	u_core/core_i/U993	A2	Routable	232.6480	289.8000	0.002000
102	Off-grid	M2 (13)	232.64600000000002	289.79999999999995	u_core/core_i/U993	A2	Routable	232.6480	289.8000	0.002000
