ref_name	cell_name	pin_name	x	y	bucket20	inside_hotspot	line_no	point_index
SDFFARX1_RVT	u_core/core_i/id_stage_i/mult_operand_b_ex_o_reg[20]	RSTB	100.408	212.4297	100-120,200-220	no	60	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[6]	Q	159.688	220.032	140-160,220-240	no	61	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_a_ex_o_reg[1]	RSTB	179.6	202.3955	160-180,200-220	no	62	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_a_ex_o_reg[1]	RSTB	179.6	202.4	160-180,200-220	no	62	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_a_ex_o_reg[1]	RSTB	179.6	202.3977	160-180,200-220	no	62	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[7]	RSTB	160.296	222.16	160-180,220-240	no	63	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[7]	RSTB	160.296	222.1645	160-180,220-240	no	63	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[7]	RSTB	160.296	222.1622	160-180,220-240	no	63	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[8]	RSTB	159.688	225.504	140-160,220-240	no	64	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[8]	RSTB	159.688	225.5085	140-160,220-240	no	64	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[8]	RSTB	159.688	225.5062	140-160,220-240	no	64	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[18]	RSTB	59.672	299.072	040-060,280-300	no	65	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[18]	RSTB	59.672	299.0765	040-060,280-300	no	65	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[18]	RSTB	59.672	299.0742	040-060,280-300	no	65	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[28]	Q	80.344	301.504	080-100,300-320	no	66	1
