ref_name	cell_name	pin_name	x	y	bucket20	inside_hotspot	line_no	point_index
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[25]	RSTB	259.704	95.0902	240-260,080-100	no	76	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[22]	RSTB	259.552	121.84	240-260,120-140	no	77	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[22]	RSTB	259.552	121.8445	240-260,120-140	no	77	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[22]	RSTB	259.552	121.8422	240-260,120-140	no	77	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[21]	RSTB	259.552	98.7315	240-260,080-100	no	78	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[21]	RSTB	259.552	98.736	240-260,080-100	no	78	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[21]	RSTB	259.552	98.7337	240-260,080-100	no	78	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[19]	CLK	259.704	107.096	240-260,100-120	no	79	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[19]	CLK	259.704	107.116	240-260,100-120	no	79	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[19]	CLK	259.704	107.106	240-260,100-120	no	79	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[18]	CLK	259.704	103.428	240-260,100-120	no	80	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[18]	CLK	259.704	103.448	240-260,100-120	no	80	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[18]	CLK	259.704	103.438	240-260,100-120	no	80	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[16]	CLK	259.704	113.46	240-260,100-120	no	81	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[16]	CLK	259.704	113.48	240-260,100-120	no	81	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[16]	CLK	259.704	113.47	240-260,100-120	no	81	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[12]	RSTB	260.312	98.432	260-280,080-100	no	82	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[12]	RSTB	260.312	98.4365	260-280,080-100	no	82	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[12]	RSTB	260.312	98.4342	260-280,080-100	no	82	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[9]	RSTB	260.312	88.6995	260-280,080-100	no	83	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[9]	RSTB	260.312	88.704	260-280,080-100	no	83	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[9]	RSTB	260.312	88.7017	260-280,080-100	no	83	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[7]	RSTB	260.464	105.12	260-280,100-120	no	84	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[7]	RSTB	260.464	105.1245	260-280,100-120	no	84	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch0_q_reg[7]	RSTB	260.464	105.1222	260-280,100-120	no	84	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dscratch1_q_reg[0]	Q	259.704	126.4	240-260,120-140	no	85	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mie_q_reg[20]	SE	220.336	151.4465	220-240,140-160	no	86	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mie_q_reg[20]	SE	220.336	151.48	220-240,140-160	no	86	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mie_q_reg[20]	SE	220.336	151.4632	220-240,140-160	no	86	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mie_q_reg[3]	Q	220.336	149.808	220-240,140-160	no	87	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mtvec_q_reg[13]	CLK	199.664	33.204	180-200,020-040	no	88	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mtvec_q_reg[13]	CLK	199.664	33.224	180-200,020-040	no	88	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mtvec_q_reg[13]	CLK	199.664	33.214	180-200,020-040	no	88	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mtvec_q_reg[10]	Q	220.336	36.112	220-240,020-040	no	89	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mtvec_q_reg[5]	RSTB	199.664	21.8195	180-200,020-040	no	90	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mtvec_q_reg[5]	RSTB	199.664	21.824	180-200,020-040	no	90	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mtvec_q_reg[5]	RSTB	199.664	21.8217	180-200,020-040	no	90	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mtvec_q_reg[2]	CLK	220.336	23.172	220-240,020-040	no	91	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mtvec_q_reg[2]	CLK	220.336	23.192	220-240,020-040	no	91	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mtvec_q_reg[2]	CLK	220.336	23.182	220-240,020-040	no	91	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/gen_trigger_regs.tmatch_value_q_reg[9]	RSTB	220.336	135.216	220-240,120-140	no	92	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/gen_trigger_regs.tmatch_value_q_reg[9]	RSTB	220.336	135.2205	220-240,120-140	no	92	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/gen_trigger_regs.tmatch_value_q_reg[9]	RSTB	220.336	135.2182	220-240,120-140	no	92	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/gen_trigger_regs.tmatch_value_q_reg[8]	RSTB	220.336	135.5155	220-240,120-140	no	93	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/gen_trigger_regs.tmatch_value_q_reg[8]	RSTB	220.336	135.52	220-240,120-140	no	93	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/gen_trigger_regs.tmatch_value_q_reg[8]	RSTB	220.336	135.5177	220-240,120-140	no	93	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][35]	SI	259.704	136.6985	240-260,120-140	no	94	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][35]	SI	259.704	136.736	240-260,120-140	no	94	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][35]	SI	259.704	136.7172	240-260,120-140	no	94	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][35]	CLK	260.312	136.868	260-280,120-140	no	95	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][35]	CLK	260.312	136.888	260-280,120-140	no	95	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][35]	CLK	260.312	136.878	260-280,120-140	no	95	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][39]	QN	259.704	147.528	240-260,140-160	no	96	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][40]	SE	259.704	144.7585	240-260,140-160	no	97	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][40]	SE	259.704	144.792	240-260,140-160	no	97	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][40]	SE	259.704	144.7752	240-260,140-160	no	97	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][41]	RSTB	259.704	148.8915	240-260,140-160	no	98	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][41]	RSTB	259.704	148.896	240-260,140-160	no	98	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][41]	RSTB	259.704	148.8937	240-260,140-160	no	98	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][54]	CLK	299.68	113.784	280-300,100-120	no	99	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][54]	CLK	299.68	113.804	280-300,100-120	no	99	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][54]	CLK	299.68	113.794	280-300,100-120	no	99	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][4]	SE	259.704	186.136	240-260,180-200	no	100	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][4]	SE	259.704	186.1695	240-260,180-200	no	100	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][4]	SE	259.704	186.1527	240-260,180-200	no	100	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][18]	SI	299.68	157.408	280-300,140-160	no	101	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][18]	SI	299.68	157.4455	280-300,140-160	no	101	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][18]	SI	299.68	157.4267	280-300,140-160	no	101	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][18]	CLK	300.288	157.256	300-320,140-160	no	102	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][18]	CLK	300.288	157.276	300-320,140-160	no	102	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][18]	CLK	300.288	157.266	300-320,140-160	no	102	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][22]	Q	299.68	164.4	280-300,160-180	no	103	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][34]	SE	260.312	161.4785	260-280,160-180	no	104	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][34]	SE	260.312	161.512	260-280,160-180	no	104	2
