error_id	error_type	error_layer	cx	cy	cell	pin	access_status	access_x	access_y	distance	ref	via_window_verdict	via_window_class
44	Off-grid	VIA1 (12)	203.312	268.52	u_core/core_i/U927	A2	Routable	203.3120	268.4850	0.035000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
45	Off-grid	VIA1 (12)	207.56799999999998	265.176	u_core/core_i/U937	A2	Routable	207.5680	265.1410	0.035000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
46	Off-grid	VIA1 (12)	212.888	273.08	u_core/core_i/U2470	A2	Routable	212.8880	273.0800	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
47	Off-grid	VIA1 (12)	214.864	273.08	u_core/core_i/U2548	A2	Routable	214.8640	273.0800	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
48	Off-grid	VIA1 (12)	225.656	276.424	u_core/core_i/U2618	A2	Routable	225.6560	276.4240	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
49	Off-grid	VIA1 (12)	220.488	275.208	u_core/core_i/U2690	A2	Routable	220.4880	275.1730	0.035000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
50	Off-grid	VIA1 (12)	249.976	271.864	u_core/core_i/U4279	A2	Routable	249.9760	271.8290	0.035000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
51	Off-grid	VIA1 (12)	252.712	275.208	u_core/core_i/U3879	A2	Routable	252.7120	275.1730	0.035000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
53	Off-grid	VIA1 (12)	182.184	286.456	u_core/core_i/U1414	A2	Routable	182.1840	286.4560	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
56	Off-grid	VIA1 (12)	212.43200000000002	288.584	u_core/core_i/U4246	A2	Routable	212.4320	288.5490	0.035000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
57	Off-grid	VIA1 (12)	239.336	288.584	u_core/core_i/U2033	A2	Routable	239.3360	288.5490	0.035000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
58	Off-grid	VIA1 (12)	238.12	286.456	u_core/core_i/U2150	A2	Routable	238.1200	286.4560	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
59	Off-grid	VIA1 (12)	241.00799999999998	278.552	u_core/core_i/U3140	A2	Routable	241.0080	278.5170	0.035000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
60	Off-grid	VIA1 (12)	203.768	296.488	u_core/core_i/U4285	A2	Routable	203.7680	296.4880	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
61	Off-grid	VIA1 (12)	212.43200000000002	296.488	u_core/core_i/U4296	A2	Routable	212.4320	296.4880	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
62	Off-grid	VIA1 (12)	216.07999999999998	293.144	u_core/core_i/U4266	A2	Routable	216.0800	293.1440	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
63	Off-grid	VIA1 (12)	236.296	289.8	u_core/core_i/U4256	A2	Routable	236.2960	289.8000	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
64	Off-grid	VIA1 (12)	237.512	296.488	u_core/core_i/U4234	A2	Routable	237.5120	296.4880	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
65	Off-grid	VIA1 (12)	244.96	293.144	u_core/core_i/U1778	A2	Routable	244.9600	293.1440	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
66	Off-grid	VIA1 (12)	249.368	295.272	u_core/core_i/U1897	A2	Routable	249.3680	295.2370	0.035000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
