error_id	error_type	error_layer	cx	cy	bucket20	nearest_pg_net	nearest_pg_shape	nearest_pg_distance_um	nearest_pg_distance_bin
216	Off-grid	VIA1 (12)	237.358	231.736	220-240,220-240	VDD	PATH_13_202	2.4420	<=5.00um
217	Off-grid	M2 (13)	232.494	235.08	220-240,220-240	VDD	PATH_13_202	7.3060	>5.00um
218	Off-grid	VIA1 (12)	232.494	235.08	220-240,220-240	VDD	PATH_13_202	7.3060	>5.00um
219	Off-grid	M2 (13)	235.965	235.07999999999998	220-240,220-240	VDD	PATH_13_202	3.8350	<=5.00um
220	Off-grid	VIA1 (12)	235.965	235.08	220-240,220-240	VDD	PATH_13_202	3.8350	<=5.00um
221	Off-grid	VIA1 (12)	234.445	236.296	220-240,220-240	VDD	PATH_13_202	5.3550	>5.00um
222	Off-grid	M2 (13)	234.445	236.296	220-240,220-240	VDD	PATH_13_202	5.3550	>5.00um
223	Off-grid	VIA1 (12)	237.941	232.952	220-240,220-240	VDD	PATH_13_202	1.8590	<=2.00um
224	Off-grid	M2 (13)	237.941	232.952	220-240,220-240	VDD	PATH_13_202	1.8590	<=2.00um
225	Off-grid	VIA1 (12)	247.66899999999998	236.296	240-260,220-240	VDD	PATH_13_202	7.4690	>5.00um
226	Off-grid	M2 (13)	247.66899999999998	236.296	240-260,220-240	VDD	PATH_13_202	7.4690	>5.00um
227	Off-grid	VIA1 (12)	240.829	232.952	240-260,220-240	VDD	PATH_13_202	0.6290	<=1.00um
228	Off-grid	M2 (13)	240.829	232.952	240-260,220-240	VDD	PATH_13_202	0.6290	<=1.00um
229	Off-grid	VIA1 (12)	240.677	229.608	240-260,220-240	VDD	PATH_13_202	0.4770	<=0.50um
230	Off-grid	M2 (13)	240.67700000000002	229.608	240-260,220-240	VDD	PATH_13_202	0.4770	<=0.50um
231	Off-grid	M2 (13)	242.349	235.07999999999998	240-260,220-240	VDD	PATH_13_202	2.1490	<=5.00um
232	Off-grid	VIA1 (12)	242.349	235.08	240-260,220-240	VDD	PATH_13_202	2.1490	<=5.00um
234	Off-grid	VIA1 (12)	256.789	238.424	240-260,220-240	VSS	PATH_13_203	3.0110	<=5.00um
235	Off-grid	M2 (13)	256.789	238.424	240-260,220-240	VSS	PATH_13_203	3.0110	<=5.00um
